CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
RonPaulCoin,Scrypt,True,PoW,,
RotoCoin,Scrypt-n,True,PoW/PoS,,
RoyalCoin,Scrypt,True,PoW,,
RazorCoin,Scrypt,True,PoW,,
Saturn2Coin,Scrypt,True,PoW,,
StableCoin,Scrypt,True,PoW,,
ShadowCash,Scrypt,True,PoW/PoS,,
SaffronCoin,Multiple,True,PoW,,
ShadeCoin,Scrypt,True,PoW/PoS,,
ShieldCoin,X15,True,PoW/PoS,,
SilkCoin,Scrypt,True,PoW/PoS,,
SterlingCoin,X13,True,PoS,,
SmartCoin,Scrypt,True,PoW,,
SoleCoin,X15,True,PoW/PoS,,
Spots,Scrypt,True,PoW,,
SecureCoin,Scrypt,True,PoW,,
BitSwift,Scrypt,True,PoW/PoS,,
TagCoin,Scrypt,False,PoW/PoS,,
TakCoin,SHA-256,True,PoW/PoS,,
TeslaCoin,Multiple,True,PoS,,
TigerCoin,SHA-256,True,PoW,,
TittieCoin,PHI1612,True,PoS,,
TorCoin,X11,True,PoW/PoS,,
TerraCoin,SHA-256,True,PoW,,
TitCoin,Scrypt,True,PoW,,
Umbrella,SHA-256,True,PoW,,
UnbreakableCoin,SHA-256,True,PoW,,
Unobtanium,SHA-256,True,PoW,,
UroCoin,X11,True,PoW,,
UnitaryStatus Dollar,Scrypt,True,PoW/PoS,,
UltraCoin,Scrypt,True,PoW/PoS,,
Utility Coin,X13,True,PoW/PoS,,
VidioCoin,X11,True,PoW/PoS,,
VootCoin,X11,True,PoW,,
SocialXbotCoin,Scrypt,True,PoW/PoS,,
X11 Coin,X11,True,PoW/PoS,,
Crypti,Multiple,True,PoS,,
JouleCoin,SHA-256,True,PoW,,
LibertyCoin,X11,True,PoW/PoS,,
PrimeCoin,Multiple,True,PoW,,
StealthCoin,X13,True,PoW/PoS,0.0,0.0
XXXCoin,Scrypt,True,PoW/PoS,0.0,0.0
YAcCoin,Scrypt,True,PoW,,
ZCC Coin,Scrypt,True,PoW/PoS,,
ZedCoins,Scrypt,True,PoW,,
Elektron,X13,True,PoW/PoS,,
XauCoin,SHA-256,True,PoW,,
TimesCoin,N/A,True,N/A,,
StorjCoin,Counterparty,True,PoS,,
StartCoin,X11,True,PoW,,
BigCoin,Blake,True,PoW,,
MaidSafe Coin,N/A,True,N/A,452552412.0,-1.0
007 coin,Scrypt,True,PoW,,
NuShares,PoS,True,PoS,6168032033.8311,0.0
SolarFarm,N/A,True,PoW,,
TekCoin,SHA-256,True,PoW/PoS,,
BitBay,PoS,True,PoS,,
Neutron,SHA-256,True,PoW/PoS,0.0,0.0
Sling Coin,SHA-256,True,PoW,,
Vcash,Whirlpool,True,PoS,,
CraveCoin,Scrypt,True,PoW/PoS,,
Stability Shares,Scrypt,True,PoW/PoS,,
ByteCent,N/A,True,PoW,,
Gemz Social,N/A,True,PoW,,
KryptCoin,Scrypt,True,PoS,,
Horizon,N/A,True,PoS,,
QoraCoin,N/A,True,PoS,,
RubyCoin,Scrypt,True,PoS,,
PesetaCoin,Scrypt,True,PoW,,
Sonic Screw Driver Coin,SHA-256,True,PoW/PoS,,
TileCoin,N/A,True,N/A,,
Dnotes,Scrypt,True,PoS,,
MaieutiCoin,SHA-256,True,PoS,,
Sativa Coin,X13,True,PoW/PoS,,
EbolaShare,N/A,True,PoS,,
AeroMe,X13,True,PoW/PoS,,
AmberCoin,X11,True,PoW/PoS,,
NakomotoDark,X11,True,PoW/PoS,,
JoinCoin,Multiple,True,PoW,,
GhostCoin,Scrypt,True,PoW/PoS,,
ArtByte,Scrypt,True,PoW,,
MasterTraderCoin,X11,True,PoW/PoS,,
Triangles Coin,X13,True,PoW/PoS,189726.488369,0.0
SwarmCoin,N/A,True,N/A,,
Boolberry,X11,True,PoW,0.0,0.0
BitCrystal,N/A,True,N/A,,
BitCredit,Momentum,True,PoW,,
Pebble Coin,CryptoNight,True,PoW,,
Dirac Coin,Blake,True,PoW,,
Folding Coin,Stanford Folding,True,PoW,,
SolarCoin,Scrypt,True,PoW,0.0,0.0
Social Media Coin,X11,True,PoW/PoS,,
TruckCoin,X11,True,PoW/PoS,,
Ucoin,X11,True,PoS,,
Unitus,Multiple,True,PoW,,
CypherPunkCoin,QuBit,True,PoW,,
UFO Coin,NeoScrypt,True,PoW,,
Ascension Coin,QuBit,True,PoW/PoS,,
OrangeCoin,Scrypt,True,PoW/PoS,,
GSM Coin,X11,True,PoW/PoS,,
FriendshipCoin,NeoScrypt,True,PoW/PoS,,
NXTTY,N/A,True,N/A,,
QuBuck Coin,X13,True,PoS/PoB,,
BlakeCoin,Blake,True,PoW,,
MaryJane Coin,X15,True,PoW/PoS,,
OmniCron,Scrypt,True,PoW,,
CyberCoin,Scrypt,True,PoW/PoS,,
BitstarCoin,Scrypt,True,PoW/PoS,,
NeosCoin,SHA-256,True,PoS,,
HyperCoin,Scrypt,True,PoW/PoS,,
Vtorrent,Scrypt,True,PoW/PoS,,
MetalCoin,Scrypt,True,PoW,,
PinkCoin,X11,True,PoW/PoS,0.0,0.0
GreenCoin,Scrypt,True,PoW,,
XG Sports,XG Hash,True,PoW/PoS,,
ChildCoin,X11,True,PoW,,
Boom Token,N/A,True,N/A,,
Instamine Nuggets,Scrypt,True,PoW,,
Unattanium,SHA-256,True,PoW,,
SlimCoin,N/A,True,PoB,,
GAIA Platform,X11,True,PoS,,
TrustPlus,X16S,False,PoW/PoS,,
Cryptonite,M7 POW,True,PoW,,
Curecoin,Scrypt,True,PoW,0.0,0.0
Gridmaster,Scrypt,True,PoW,,
MemoryCoin,Multiple,True,PoW,,
BitcoinPlus,Scrypt,True,PoS,0.0,0.0
OctoCoin,N/A,False,N/A,,
EggCoin,Scrypt,True,PoW/PoS,,
Coin.2,Scrypt,True,PoW/PoS,,
GlowShares,PoS,True,PoS,,
Camcoin,X11,False,PoW/PoS,,
Ribbit Rewards,Multiple,True,PoW,,
Quotient,Scrypt,True,PoW/PoS,,
ICASH,X11,True,PoW,,
Node,Curve25519,False,PoA,,
SoonCoin,SHA-256,True,PoW,,
BitMiles,Scrypt,True,PoW,,
Event Token,Scrypt,True,PoW/PoS,,
1Credit,Scrypt,True,PoW,,
ViorCoin,Scrypt,True,PoW/PoS,,
XCoin,SHA-256,True,PoW/PoS,0.0,0.0
VirtualMining Coin,Scrypt-n,True,PoW,,
MarsCoin,X11,False,PoW,,
Viral Coin,Scrypt,True,PoS,,
Equilibrium Coin,SHA-256,True,PoW/PoS,,
IslaCoin,X11,True,PoW/PoS,,
Quicksilver coin,X11,True,PoW,,
World Trade Funds,X15,True,PoW/PoS,,
DeOxyRibose,X11,True,PoS,,
SkullBuzz,SHA-256,True,PoS,,
GlobalBoost,Yescript,True,PoW,,
CryptoFocus,X11,True,PoW/PoS,,
Gambit coin,N/A,True,N/A,,
Crypto Escudo,Scrypt,True,PoW,,
Twelve Coin,T-Inside,True,PoW/PoS,,
EagsCoin,X11,True,PoW/PoS,,
MultiWallet Coin,X11,True,PoW/PoS,,
AudioCoin,Scrypt,True,PoW/PoS,,
Megastake,X11,True,PoW/PoS,,
Singular,Scrypt,True,PoW/PoS,,
SupplyShock,X13,True,PoW/PoS,,
DarkBit,Scrypt,True,PoW/PoS,,
Crypto,Lyra2RE,True,PoW,,
BitLux,X11,False,PoW/PoS,,
FutCoin,X13,True,PoW/PoS,,
Global,N/A,True,PoS,,
MorpheusCoin,X11,True,PoW,,
Creva Coin,X11,True,N/A,,
BananaBits,Scrypt,True,PoW/PoS,,
Cerium,SHA-256,True,PoW/PoS,,
